ark-agent-namespace	C-1	test-binding	top_level_help_does_not_mention_agent
ark-agent-namespace	C-2	test-binding	agent_help_includes_stability_banner
ark-agent-namespace	C-3	judgment
ark-agent-namespace	C-4	judgment
ark-agent-namespace	C-5	judgment
ark-agent-namespace	C-6	test-binding	load_errors_on_corrupt_toml
ark-agent-namespace	C-7	test-binding	registers_fresh_row
ark-agent-namespace	C-8	test-binding	rename_to_moves_file
ark-agent-namespace	C-9	test-binding	illegal_phase_under_target_tier_errors
ark-agent-namespace	C-10	judgment
ark-agent-namespace	C-11	test-binding	extracts_with_inline_code_suffix
ark-agent-namespace	C-12	test-binding	rejects_pipe_in_feature
ark-agent-namespace	C-13	test-binding	errors_on_corrupt_managed_block
ark-agent-namespace	C-14	judgment
ark-agent-namespace	C-15	judgment
ark-research	C-1	test-binding	tier_research_round_trips_as_lowercase
ark-research	C-2	test-binding	phase_research_round_trips_as_lowercase
ark-research	C-3	test-binding	can_transition_research
ark-research	C-4	test-binding	task_new_with_tier_research_starts_in_phase_research
ark-research	C-5	test-binding	task_new_research_with_worktree_succeeds
ark-research	C-6	test-binding	research_tier_skips_verify_gate
ark-research	C-7	test-binding	research_tier_commit_stages_corpus_and_clears_focus
ark-research	C-8	test-binding	check_phase_for_commit_accepts_only_legal_inputs
ark-research	C-9	test-binding	artifact_for_research_tier_returns_none
ark-research	C-10	judgment
ark-research	C-11	test-binding	research_slash_command_claude_and_opencode_bodies_match
ark-research	C-12	test-binding	researcher_prompt_carries_paths_summaries_contract
ark-research	C-13	judgment
ark-research	C-14	judgment
ark-research	C-15	judgment
ark-research	C-16	tool	clippy
ark-research	C-17	test-binding	research_tier_commit_does_not_promote_spec
ark-research	C-18	test-binding	task_promote_rejects_research_source
ark-upgrade	C-1	test-binding	load_or_default_empty_when_absent
ark-upgrade	C-2	test-binding	load_or_default_round_trips_full_section
ark-upgrade	C-3	test-binding	ejected_path_untouched_by_force
ark-upgrade	C-4	test-binding	validate_rejects_merged_managed_block_file
ark-upgrade	C-5	test-binding	validate_rejects_overlap_and_unsafe
ark-upgrade	C-6	test-binding	validate_rejects_overlap_and_unsafe
ark-upgrade	C-7	test-binding	record_read_round_trip_and_absent
ark-upgrade	C-8	test-binding	merged_without_base_falls_back_to_conflict_skip
ark-upgrade	C-9	test-binding	overlapping_edits_conflict_with_git_markers
ark-upgrade	C-10	test-binding	non_utf8_round_trips
ark-upgrade	C-11	test-binding	nested_path_mirrors_under_base_dir
ark-upgrade	C-12	test-binding	upgrade_source_has_no_bare_std_fs_or_dot_ark_literals
ark-upgrade	C-13	test-binding	upgrade_source_has_no_bare_std_fs_or_dot_ark_literals
ark-upgrade	C-14	test-binding	apply_failure_rolls_back_files_and_manifest
ark-upgrade	C-15	test-binding	restore_without_backup_errors
ark-upgrade	C-16	test-binding	plan_actions_sorts_output_by_bucket_then_path
ark-upgrade	C-17	test-binding	summary_display_prints_fixed_order_even_when_zero
ark-upgrade	C-18	judgment
ark-upgrade	C-19	test-binding	merged_no_base_skip_stays_on_fallback
ark-upgrade	C-20	test-binding	apply_failure_rolls_back_files_and_manifest
ark-upgrade	C-21	test-binding	restore_after_success_returns_pre_upgrade_tree
ark-upgrade	C-22	test-binding	corrupt_upgrade_section_is_upgrade_error
ark-upgrade	C-23	test-binding	new_action_variants_sort_into_their_buckets
ark-upgrade	C-24	test-binding	dry_run_reports_and_mutates_nothing
ark-upgrade	C-25	judgment
ark-upgrade	C-26	test-binding	upgrade_appends_missing_top_level_sections_to_config_toml
codex-support	C-1	source-scan	.codex/ @ crates/ark-core/src/commands/**/*.rs
codex-support	C-2	judgment
codex-support	C-3	source-scan	std::fs:: @ crates/ark-core/src/commands/**/*.rs
codex-support	C-4	test-binding	update_hook_file_rejects_invalid_array_key
codex-support	C-5	test-binding	platform_by_id_resolves_known_platforms
codex-support	C-6	test-binding	platform_by_id_resolves_known_platforms
codex-support	C-7	test-binding	load_after_replay_re_applies_canonical_entries
codex-support	C-8	test-binding	deprecated_alias_delegates_to_update_hook_file
codex-support	C-9	test-binding	unload_captures_orphan_ark_hook_entries_in_unregistered_files
codex-support	C-10	test-binding	ark_codex_hook_entry_carries_canonical_command_in_seconds
codex-support	C-11	judgment
codex-support	C-12	judgment
codex-support	C-13	test-binding	every_claude_command_has_a_codex_skill_sibling
codex-support	C-14	judgment
codex-support	C-15	judgment
opencode-support	C-1	source-scan	.opencode/ @ crates/ark-core/src/commands/**/*.rs
opencode-support	C-2	test-binding	opencode_templates_ships_no_package_json
opencode-support	C-3	test-binding	opencode_capture_hook_returns_none
opencode-support	C-4	test-binding	opencode_platform_shape
opencode-support	C-5	test-binding	opencode_apply_managed_state_writes_block_and_plugin
opencode-support	C-6	test-binding	opencode_command_bodies_have_opencode_frontmatter_and_arguments_token
opencode-support	C-7	tool	cargo build
opencode-support	C-8	judgment
opencode-support	C-9	source-scan	.opencode/ @ crates/ark-core/src/commands/init.rs
opencode-support	C-10	test-binding	every_claude_command_has_an_opencode_command_sibling
opencode-support	C-11	test-binding	opencode_platform_shape
opencode-support	C-12	judgment
opencode-support	C-13	judgment
opencode-support	C-14	judgment
opencode-support	C-15	judgment
project-spec	C-1	judgment
project-spec	C-2	judgment
project-spec	C-3	tool	cargo check --all-targets
project-spec	C-4	judgment
project-spec	C-5	source-scan	unwrap( @ crates/ark-core/src/**/*.rs
project-spec	C-6	source-scan	V-(UT|IT|E|F)-\d @ crates/**/*.rs
project-spec	C-7	judgment
project-spec	C-8	judgment
subagent-support	C-1	test-binding	agents_templates_and_dest_dir_are_paired
subagent-support	C-2	test-binding	each_platform_ships_three_agents
subagent-support	C-3	test-binding	owned_dirs_derives_from_registry
subagent-support	C-4	source-scan	.claude/agents/ @ crates/ark-core/src/commands/**/*.rs
subagent-support	C-5	test-binding	unload_load_round_trips_agent_files_for_every_platform
subagent-support	C-6	test-binding	agent_prompts_carry_recursion_guard
subagent-support	C-7	test-binding	agent_prompts_carry_write_scope_walls
subagent-support	C-8	judgment
subagent-support	C-9	judgment
subagent-support	C-10	judgment
subagent-support	C-11	test-binding	verifier_prompt_carries_no_self_fix_rule
subagent-support	C-12	test-binding	reviewer_prompt_carries_iteration_rejection_rule
subagent-support	C-13	test-binding	reviewer_prompt_carries_spec_contradiction_rule
subagent-support	C-14	test-binding	researcher_prompt_carries_paths_summaries_contract
subagent-support	C-15	test-binding	agent_prompts_carry_recursion_guard
subagent-support	C-16	judgment
subagent-support	C-17	judgment
subagent-support	C-18	judgment
subagent-support	C-19	test-binding	codex_support_spec_changelog_present
subagent-support	C-20	test-binding	opencode_support_spec_changelog_present
subagent-support	C-21	test-binding	each_platform_ships_three_agents
subagent-support	C-22	test-binding	agent_bodies_are_byte_identical_modulo_platform_idioms
subagent-support	C-23	test-binding	claude_platform_lists_agents_dir_in_extra_dirs
subagent-support	C-24	test-binding	unload_load_round_trips_agent_files_for_every_platform
subagent-support	C-25	test-binding	codex_agent_frontmatter_shape
